symbol,investment,profit,roi
A,31.473534,91.716468,291.41
AA,13.36068,5.749321,43.03
AAIC,410,-406.38,-99.12
AAN,26.5,-8.139999,-30.72
AAP,13.88,140.200002,1010.09
AAT,21.25,6.6399989999999995,31.25
AB,2.53125,34.358749,1357.38
ABB,16.828125,13.641874000000001,81.07
ABBV,35.119999,68.35000199999999,194.62
ABC,2.953125,102.666878,3476.55
ABEV,0.45,2.4699999999999998,548.89
ABG,15.55,128.89000199999998,828.87
ABM,2.325,36.265,1559.78
ABR,20.5,-5.65,-27.56
ABT,2.125265,118.114733,5557.65
AC,27.57214,7.207858999999996,26.14
ACA,29.129999,30.950003,106.25
ACB,7.212,5.4879999999999995,76.10
ACC,17.5,24.439999,139.66
ACCO,24.860001,-16.460001,-66.21
ACEL,9.8,0.1899999999999995,1.94
ACH,4.5675,3.6025,78.87
ACI,15.45,1.0300000000000011,6.67
ACIC,9.97,0.7799999999999994,7.82
ACM,21.1,33.039999,156.59
ACN,15.17,233.58,1539.75
ACND,9.869,0.5709999999999997,5.79
ACP,18.9807,-7.890699999999999,-41.57
ACRE,17.82,-6,-33.67
ACV,25,9.049999,36.20
ADC,19.5,45.410004,232.87
ADCT,30,-1.7399999999999984,-5.80
ADM,3.953333,46.986666,1188.53
ADNT,49.349998,-14.699995999999999,-29.79
ADS,12.86,56.870003,442.22
ADT,12.39,-3.5,-28.25
ADX,12.583333,5.026668000000001,39.95
AEB,24.799999,0.5,2.02
AEE,42.8125,29.957497000000004,69.97
AEFC,25.450001,0.6399989999999995,2.51
AEG,1.923077,2.236923,116.32
AEL,9.05,21.029999999999998,232.38
AEM,17,52.349998,307.94
AENZ,21.129999,-18.669999,-88.36
AEO,0.888889,22.25111,2503.25
AER,23.02,17.779999,77.24
AES,3.276699,22.473301,685.85
AFB,15.01,-0.5600000000000005,-3.73
AFC,24.9,1.4099990000000027,5.66
AFG,18.625,74.815002,401.69
AFGB,23.16,4.149999000000001,17.92
