symbol,investment,profit,roi
A,0,0,NaN
AA,21.17,-1.2800010000000022,-6.05
AAIC,467.570012,-50.290018000000025,-10.76
AAN,0,0,NaN
AAP,29.23,-2.260000999999999,-7.73
AAT,0,0,NaN
AB,0,0,NaN
ABB,26.95,8.420000000000002,31.24
ABBV,0,0,NaN
ABC,155.411247,-9.963120000000004,-6.41
ABEV,14.54725,-0.7021679999999999,-4.83
ABG,49.060001,-4.090003000000003,-8.34
ABM,29.04375,16.88625,58.14
ABR,0.65,4.119999999999999,633.85
ABT,17.192904,-1.0549169999999997,-6.14
AC,0,0,NaN
ACA,0,0,NaN
ACB,7.140000000000001,10.404,145.71
ACC,34.400002,-1.740002000000004,-5.06
ACCO,12.17,-1.3,-10.68
ACEL,0,0,NaN
ACH,32.8625,12.907499999999995,39.28
ACI,0,0,NaN
ACIC,0,0,NaN
ACM,16.4,-1.2399999999999984,-7.56
ACN,0,0,NaN
ACND,0,0,NaN
ACP,20.272904,-0.21442400000000106,-1.06
ACRE,0,0,NaN
ACV,20.940001,-1.3400009999999973,-6.40
ADC,0,0,NaN
ADCT,0,0,NaN
ADM,119.83370599999999,-3.128526999999991,-2.61
ADNT,43.58,-8.110000000000003,-18.61
ADS,0,0,NaN
ADT,0,0,NaN
ADX,0,0,NaN
AEB,0,0,NaN
AEE,0,0,NaN
AEFC,0,0,NaN
AEG,4.94601,1.9914900000000002,40.26
AEL,0,0,NaN
AEM,34,-2.6875,-7.90
AENZ,21.06,-1.430000000000001,-6.79
AEO,21.605679000000002,4.935308000000001,22.84
AER,0,0,NaN
AES,32.275,-1.981250000000001,-6.14
AFB,42.58,-0.379999999999999,-0.89
AFC,0,0,NaN
AFG,43.083336,-2.9166720000000055,-6.77
AFGB,0,0,NaN
AFGC,0,0,NaN
AFGD,0,0,NaN
AFGE,0,0,NaN
AFI,0,0,NaN
AFL,48.955,-3.25,-6.64
AFT,31.93,-1.740000000000002,-5.45
AG,0,0,NaN
AGCB,0,0,NaN
AGCO,109.099168,13.39916500000001,12.28
AGD,0,0,NaN
AGI,3.14,-0.20999999999999996,-6.69
AGM,30.6,-0.8483340000000013,-2.77
AGO,17.75,5.200001,29.30
AGR,40.98,-2.5700000000000003,-6.27
AGRO,3.89,-0.3400000000000003,-8.74
AGS,9.74,-0.5899999999999999,-6.06
AGX,64.22,-0.1899999999999995,-0.30
AHC,0,0,NaN
AHH,0,0,NaN
AHT,237.79647,-14.940226000000006,-6.28
AI,0,0,NaN
AIC,0,0,NaN
AIF,0,0,NaN
AIG,37.790001000000004,18.770000999999993,49.67
AIN,108.951767,12.673997000000002,11.63
AIO,0,0,NaN
AIR,112.226665,-9.033330999999997,-8.05
AIRC,0,0,NaN
AIT,58.250988,-3.5928540000000027,-6.17
AIV,0,0,NaN
AIW,0,0,NaN
AIZ,0,0,NaN
AIZN,0,0,NaN
AIZP,0,0,NaN
AJAX,0,0,NaN
AJG,50.20875,54.585001,108.72
AJRD,37.408542999999995,10.275259,27.47
AJX,9.16,4.83,52.73
AJXA,0,0,NaN
AKR,10,-0.75,-7.50
AL,0,0,NaN
ALB,41.880001,97.34,232.43
ALC,0,0,NaN
ALE,207.10500000000002,-24.78000199999999,-11.96
ALEX,49.119999,-2.710000000000001,-5.52
ALG,62.860001,21.282501000000003,33.86
ALK,16.40625,-1.0387500000000003,-6.33
ALL,56.900002,-3.260003000000001,-5.73
ALLE,0,0,NaN
ALLY,0,0,NaN
ALSN,0,0,NaN
ALTG,4.27,5.77,135.13
ALUS,0,0,NaN
ALV,14.783862,-1.0014409999999998,-6.77
ALX,1165.404979,-34.96246299999996,-3.00
AM,6.67,-0.5000000000000004,-7.50
AMBC,28.34,-4.780000000000001,-16.87
AMC,12.9,-1,-7.75
AMCR,109.93999999999998,6.369999999999994,5.79
AME,10.592592,-0.7870380000000008,-7.43
AMG,0,0,NaN
AMH,0,0,NaN
AMK,0,0,NaN
AMN,57.67,1.1900029999999973,2.06
AMOV,20.52,-1.0699989999999993,-5.21
AMP,0,0,NaN
AMPY,159.310002,-11.929998000000001,-7.49
