symbol,investment,profit,roi
A,1643.499114,20.39643599999998,1.24
AA,4717.047296000001,-41.547398999999885,-0.88
AAIC,15774.509959999996,-131.3799400000001,-0.83
AAN,51.700001,0.16000000000000014,0.31
AAP,6181.929983999999,14.680010999999865,0.24
AAT,1033.5099990000003,-9.509994999999993,-0.92
AB,3086.4637510000002,-1.437498999999999,-0.05
ABB,1445.9399990000002,-13.040008999999984,-0.90
ABBV,1515.3400020000001,40.46998800000003,2.67
ABC,3375.3165690000005,0.857483000000073,0.03
ABEV,294.999601,3.080853000000001,1.04
ABG,1832.279997,39.860012999999974,2.18
ABM,1733.26124,37.368757,2.16
ABR,686.8000009999997,-16.990002,-2.47
ABT,1764.2770420000004,26.522941000000003,1.50
AC,266.666661,24.00000700000001,9.00
ACA,103.37,0.5099990000000041,0.49
ACB,1037.6059899999996,-43.22799100000003,-4.17
ACC,1717.7400039999993,32.939987999999985,1.92
ACCO,952.3900040000002,6.869995999999996,0.72
ACEL,69.925,1.545,2.21
ACH,1309.2875020000006,-20.6325,-1.58
ACI,27.299999999999997,-0.5800000000000001,-2.12
ACIC,0,0,NaN
ACM,1326.1399969999998,8.38000300000001,0.63
ACN,2199.079997,39.839995999999985,1.81
ACND,0,0,NaN
ACP,766.3152840000001,-2.9877529999999943,-0.39
ACRE,358.310001,-5.530001000000006,-1.54
ACV,628.6060010000001,-9.476001000000004,-1.51
ADC,1746.1574979999996,30.565001000000024,1.75
ADCT,27.26,-2,-7.34
ADM,2929.9814729999994,18.250029999999995,0.62
ADNT,1118.5899830000003,-10.849983000000003,-0.97
ADS,8755.730030999996,46.35992999999992,0.53
ADT,193.62,4.970000000000005,2.57
ADX,1497.4016650000003,-8.188334000000001,-0.55
AEB,1297.0900029999996,1.5500040000000013,0.12
AEE,2602.317493,31.50750800000001,1.21
AEFC,77.260001,2.7199980000000004,3.52
AEG,1409.0588719999998,-15.895244999999989,-1.13
AEL,1266.6099979999995,22.340002999999996,1.76
AEM,3346.606893000001,5.549350000000011,0.17
AENZ,682.7600000000001,-6.800001000000008,-1.00
AEO,1089.6739159999997,-3.515953000000014,-0.32
AER,1820.120006,44.439987,2.44
AES,1366.433724,-23.743037999999977,-1.74
AFB,1071.4100000000003,-2.4899999999999984,-0.23
AFC,641.480001,-3.8700059999999965,-0.60
AFG,3306.421680999999,34.62830299999998,1.05
AFGB,27,0.30999900000000125,1.15
AFGC,108.57999899999999,-0.9299979999999977,-0.86
AFGD,0,0,NaN
AFGE,0,0,NaN
AFI,373.77000200000003,-2.930003999999993,-0.78
AFL,1690.4789630000005,-7.654370999999987,-0.45
AFT,574.4499940000001,-6.3799959999999984,-1.11
AG,424.40999800000003,-0.22999799999999482,-0.05
AGCB,0,0,NaN
AGCO,2804.990009,29.600826000000012,1.06
AGD,1348.3500000000004,-12.620002000000019,-0.94
AGI,298.62,-6.4800000000000075,-2.17
AGM,2735.2774930000005,21.906672999999984,0.80
AGO,1504.970006,15.290002000000008,1.02
AGR,485.389995,4.05000299999999,0.83
AGRO,395.06,-4.260000000000008,-1.08
AGS,236.13000100000005,3.1200009999999923,1.32
AGX,1662.986245,-7.55562299999999,-0.45
AHC,364.81,-6.41,-1.76
AHH,191.07,-5.700001000000004,-2.98
AHT,4420.4355570000025,10.810860000000003,0.24
AI,0,0,NaN
AIC,276.017004,-7.369002999999994,-2.67
AIF,549.1900030000002,-6.380004999999997,-1.16
AIG,59124.41482000001,-1037.3114389999994,-1.75
AIN,3750.4136420000013,31.856614999999977,0.85
AIO,99.78499800000002,0.8649989999999974,0.87
AIR,2665.899449000001,12.707481000000007,0.48
AIRC,0,0,NaN
AIT,2627.5934099999995,16.28278899999998,0.62
AIV,372.382454,1.344807000000002,0.36
AIW,424.87999999999994,-16.139997,-3.80
AIZ,2742.3000169999996,38.02998200000002,1.39
AIZN,26.049999,0.38000100000000003,1.46
AIZP,690.9499979999999,18.78000399999999,2.72
AJAX,0,0,NaN
AJG,2174.4662499999995,64.71312600000002,2.98
AJRD,2193.6159440000015,7.849807999999975,0.36
AJX,262.19000000000005,1.2299999999999933,0.47
AJXA,205.20499999999998,6.370995999999998,3.10
AKR,1600.4299990000004,-4.722496000000019,-0.30
AL,1298.090009,-0.07001699999996447,-0.01
ALB,3024.3900189999995,25.81373199999998,0.85
ALC,243.08000200000004,18.079999,7.44
ALE,4469.652497,-38.18874199999995,-0.85
ALEX,1372.130009,16.67998400000001,1.22
ALG,2826.8049789999995,30.73002699999998,1.09
ALK,2985.613761000001,7.038102000000016,0.24
ALL,3083.0550009999993,2.957486999999958,0.10
ALLE,1816.990008,19.779997999999978,1.09
ALLY,699.509998,-13.290000000000003,-1.90
ALSN,843.2000039999999,2.909994999999988,0.35
ALTG,58.480000000000004,1.4300000000000006,2.45
ALUS,28.409999999999997,0.27000000000000135,0.95
ALV,4412.3580600000005,5.34704200000003,0.12
ALX,24307.227518000003,279.442539,1.15
AM,478.7199959999999,-2.919995,-0.61
AMBC,874.9899990000001,-7.680003999999997,-0.88
AMC,857.6499989999995,-0.6999989999999929,-0.08
AMCR,422.19,6.510000000000005,1.54
AME,1591.1262980000001,49.12665600000001,3.09
AMG,7914.258327000002,45.823319999999924,0.58
AMH,296.57000100000005,-3.050003999999994,-1.03
AMK,148.87,5.919997000000002,3.98
AMN,1389.1700040000003,-11.030008000000002,-0.79
AMOV,856.3733260000002,16.692917999999995,1.95
AMP,3690.809981,41.21000499999994,1.12
AMPY,2283.8600119999996,15.049974999999982,0.66
AMRC,348.52,1.4099999999999984,0.40
