Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,0.000000,8.000000,7.777778,8.000000,1.824813,4050
1986-03-14,0.000000,8.000000,7.851852,8.000000,1.824813,10125
1986-03-17,0.000000,8.074074,7.851852,8.074074,1.841709,2363
1986-03-18,0.000000,8.074074,8.000000,8.074074,1.841709,10125
1986-03-19,0.000000,8.148148,7.925926,8.148148,1.858606,4050
1986-03-20,0.000000,8.148148,8.000000,8.000000,1.824813,9113
1986-03-21,0.000000,8.296296,8.296296,8.296296,1.892398,4050
1986-03-24,0.000000,8.518519,8.296296,8.370370,1.909295,13163
1986-03-25,0.000000,8.518519,8.518519,8.518519,1.943089,5063
1986-03-26,0.000000,8.814815,8.592593,8.814815,2.010675,6075
1986-03-27,0.000000,9.111111,8.740741,9.111111,2.078259,11475
1986-03-31,0.000000,9.185185,8.888889,8.888889,2.027570,7763
1986-04-01,0.000000,9.000000,8.888889,8.888889,2.027570,7763
1986-04-02,0.000000,9.000000,8.888889,8.925926,2.036018,11813
1986-04-03,0.000000,9.185185,8.962963,9.185185,2.095155,1350
1986-04-04,0.000000,9.259259,8.962963,8.962963,2.044466,9450
1986-04-07,0.000000,9.000000,8.962963,9.000000,2.052914,3038
1986-04-08,0.000000,9.185185,9.000000,9.185185,2.095155,9788
1986-04-09,9.185185,9.185185,9.185185,9.185185,2.095155,0
1986-04-10,0.000000,8.962963,8.962963,8.962963,2.044466,338
1986-04-11,0.000000,9.037037,9.037037,9.037037,2.061363,338
1986-04-14,9.037037,9.037037,9.037037,9.037037,2.061363,0
1986-04-15,0.000000,9.111111,8.962963,9.111111,2.078259,9113
1986-04-16,9.111111,9.111111,9.111111,9.111111,2.078259,0
1986-04-17,0.000000,8.962963,8.962963,8.962963,2.044466,1013
1986-04-18,8.962963,8.962963,8.962963,8.962963,2.044466,0
1986-04-21,8.962963,8.962963,8.962963,8.962963,2.044466,0
1986-04-22,0.000000,8.962963,8.962963,8.962963,2.044466,1013
1986-04-23,8.962963,8.962963,8.962963,8.962963,2.044466,0
1986-04-24,8.962963,8.962963,8.962963,8.962963,2.044466,0
1986-04-25,0.000000,8.962963,8.962963,8.962963,2.044466,1688
1986-04-28,0.000000,9.037037,8.888889,9.037037,2.061363,6413
1986-04-29,0.000000,9.037037,8.814815,9.037037,2.061363,8438
1986-04-30,0.000000,9.037037,8.814815,9.037037,2.061363,5063
1986-05-01,0.000000,9.037037,8.814815,8.814815,2.010675,1350
1986-05-02,0.000000,8.962963,8.814815,8.962963,2.044466,10125
1986-05-05,0.000000,9.037037,9.037037,9.037037,2.061363,675
1986-05-06,0.000000,9.037037,9.037037,9.037037,2.061363,675
1986-05-07,0.000000,9.037037,8.814815,8.814815,2.010675,2363
1986-05-08,0.000000,8.814815,8.814815,8.814815,2.010675,675
1986-05-09,0.000000,8.814815,8.814815,8.814815,2.010675,675
1986-05-12,0.000000,9.037037,9.037037,9.037037,2.061363,1688
1986-05-13,9.037037,9.037037,9.037037,9.037037,2.061363,0
1986-05-14,0.000000,9.111111,8.851852,9.111111,2.078259,1013
1986-05-15,9.111111,9.111111,9.111111,9.111111,2.078259,0
1986-05-16,0.000000,9.111111,8.814815,9.111111,2.078259,2700
1986-05-19,9.111111,9.111111,9.111111,9.111111,2.078259,0
1986-05-20,9.111111,9.111111,9.111111,9.111111,2.078259,0
1986-05-21,0.000000,9.111111,9.111111,9.111111,2.078259,2700
1986-05-22,0.000000,9.259259,8.962963,9.111111,2.078259,15863
1986-05-23,0.000000,9.407407,9.259259,9.259259,2.112052,5738
1986-05-27,9.259259,9.259259,9.259259,9.259259,2.112052,0
1986-05-28,0.000000,9.333333,9.333333,9.333333,2.128948,1013
1986-05-29,0.000000,9.629630,9.333333,9.629630,2.196535,4725
1986-05-30,0.000000,9.333333,9.333333,9.333333,2.128948,1013
1986-06-02,0.000000,9.629630,9.333333,9.629630,2.196535,7088
1986-06-03,0.000000,9.703704,9.703704,9.703704,2.213431,3375
1986-06-04,0.000000,10.000000,10.000000,10.000000,2.281017,338
1986-06-05,0.000000,10.000000,10.000000,10.000000,2.281017,338
1986-06-06,0.000000,10.222222,10.000000,10.222222,2.331705,4050
1986-06-09,10.222222,10.222222,10.222222,10.222222,2.331705,0
1986-06-10,0.000000,10.000000,10.000000,10.000000,2.281017,1350
1986-06-11,0.000000,10.296296,10.111111,10.111111,2.306362,5738
1986-06-12,0.000000,10.740741,10.370370,10.740741,2.449980,9113
1986-06-13,0.000000,11.111111,10.666667,11.111111,2.534463,2700
1986-06-16,11.111111,11.111111,11.111111,11.111111,2.534463,0
1986-06-17,0.000000,11.111111,10.666667,10.666667,2.433084,1350
1986-06-18,0.000000,11.111111,10.962963,10.962963,2.500669,3038
1986-06-19,0.000000,10.666667,10.666667,10.666667,2.433084,338
1986-06-20,0.000000,10.666667,10.666667,10.666667,2.433084,1013
1986-06-23,0.000000,11.111111,10.962963,11.111111,2.534463,3375
1986-06-24,0.000000,11.259259,11.259259,11.259259,2.568256,338
1986-06-25,0.000000,11.259259,11.259259,11.259259,2.568256,675
1986-06-26,0.000000,10.814815,10.814815,10.814815,2.466876,3375
1986-06-27,0.000000,11.259259,11.259259,11.259259,2.568256,1350
1986-06-30,0.000000,11.259259,11.259259,11.259259,2.568256,1013
1986-07-01,0.000000,10.962963,10.962963,10.962963,2.500669,675
1986-07-02,10.962963,10.962963,10.962963,10.962963,2.500669,0
1986-07-03,10.962963,10.962963,10.962963,10.962963,2.500669,0
1986-07-07,10.962963,10.962963,10.962963,10.962963,2.500669,0
1986-07-08,0.000000,10.962963,10.962963,10.962963,2.500669,1350
1986-07-09,10.962963,10.962963,10.962963,10.962963,2.500669,0
1986-07-10,0.000000,11.407407,10.962963,11.407407,2.602048,2363
1986-07-11,0.000000,10.962963,10.962963,10.962963,2.500669,675
1986-07-14,10.962963,10.962963,10.962963,10.962963,2.500669,0
1986-07-15,10.962963,10.962963,10.962963,10.962963,2.500669,0
1986-07-16,10.962963,10.962963,10.962963,10.962963,2.500669,0
1986-07-17,0.000000,10.962963,10.962963,10.962963,2.500669,3375
1986-07-18,0.000000,10.962963,10.962963,10.962963,2.500669,3375
1986-07-21,0.000000,11.111111,10.962963,11.111111,2.534463,1350
1986-07-22,11.111111,11.111111,11.111111,11.111111,2.534463,0
1986-07-23,0.000000,10.666667,10.666667,10.666667,2.433084,1013
1986-07-24,10.666667,10.666667,10.666667,10.666667,2.433084,0
1986-07-25,0.000000,10.777778,10.666667,10.777778,2.458428,5063
1986-07-28,0.000000,10.666667,10.370370,10.666667,2.433084,2025
1986-07-29,0.000000,10.370370,10.370370,10.370370,2.365498,1013
1986-07-30,10.370370,10.370370,10.370370,10.370370,2.365498,0
1986-07-31,0.000000,10.222222,10.222222,10.222222,2.331705,675
1986-08-01,10.222222,10.222222,10.222222,10.222222,2.331705,0
1986-08-04,10.222222,10.222222,10.222222,10.222222,2.331705,0
1986-08-05,0.000000,10.518519,10.518519,10.518519,2.399291,1350
1986-08-06,0.000000,10.518519,10.074074,10.074074,2.297913,3713
1986-08-07,0.000000,10.222222,10.222222,10.222222,2.331705,1350
1986-08-08,0.000000,10.518519,10.518519,10.518519,2.399291,1350
1986-08-11,0.000000,10.296296,10.296296,10.296296,2.348603,675
1986-08-12,0.000000,10.074074,10.074074,10.074074,2.297913,1350
1986-08-13,0.000000,10.518519,10.518519,10.518519,2.399291,2363
1986-08-14,0.000000,10.222222,10.222222,10.222222,2.331705,675
